index,hand,auction,wbridge5,ben_sayc,saycbridge
0,S:Q52 H:6543 D:K732 C:AJ,,Pass,Pass,Pass
1,S:97 H:A9872 D:AJ65 C:43,Pass,Pass,Pass,Pass
2,S:J83 H:QJT D:QT C:K9852,Pass Pass,1S,Pass,Pass
3,S:AKT64 H:K D:984 C:QT76,Pass Pass 1S,1NT,Pass,Pass
4,S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT,Pass,X,3S
5,S:97 H:A9872 D:AJ65 C:43,Pass Pass 1S 1NT Pass,2D,2D,2D
6,S:J83 H:QJT D:QT C:K9852,Pass Pass 1S 1NT Pass 2D,Pass,Pass,Pass
7,S:AKT64 H:K D:984 C:QT76,Pass Pass 1S 1NT Pass 2D Pass,2H,Pass,2H
8,S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT Pass 2D Pass 2H,Pass,3S,2S
9,S:97 H:A9872 D:AJ65 C:43,Pass Pass 1S 1NT Pass 2D Pass 2H Pass,2NT,3NT,2NT
10,S:J83 H:QJT D:QT C:K9852,Pass Pass 1S 1NT Pass 2D Pass 2H Pass 2NT,Pass,Pass,Pass
11,S:AKT64 H:K D:984 C:QT76,Pass Pass 1S 1NT Pass 2D Pass 2H Pass 2NT Pass,Pass,Pass,Pass
12,S:Q52 H:6543 D:K732 C:AJ,Pass Pass 1S 1NT Pass 2D Pass 2H Pass 2NT Pass Pass,Pass,Pass,Pass
13,S:9862 H:KJ9652 D:74 C:3,,Pass,Pass,Pass
14,S:AK4 H:AQT3 D:5 C:J8742,Pass,1H,1C,1C
15,S:T3 H:84 D:KQJ982 C:KQT,Pass 1H,Pass,Pass,2D
16,S:QJ75 H:7 D:AT63 C:A965,Pass 1H Pass,2C,1S,1S
17,S:9862 H:KJ9652 D:74 C:3,Pass 1H Pass 2C,X,Pass,Pass
18,S:AK4 H:AQT3 D:5 C:J8742,Pass 1H Pass 2C X,Pass,3C,3C
19,S:T3 H:84 D:KQJ982 C:KQT,Pass 1H Pass 2C X Pass,2S,3D,Pass
20,S:QJ75 H:7 D:AT63 C:A965,Pass 1H Pass 2C X Pass 2S,X,Pass,2NT
21,S:9862 H:KJ9652 D:74 C:3,Pass 1H Pass 2C X Pass 2S X,Pass,Pass,Pass
22,S:AK4 H:AQT3 D:5 C:J8742,Pass 1H Pass 2C X Pass 2S X Pass,Pass,Pass,3C
23,S:T3 H:84 D:KQJ982 C:KQT,Pass 1H Pass 2C X Pass 2S X Pass Pass,Pass,3D,Pass
24,S:54 H: D:AQ953 C:AKQJT6,,Pass,1C,1C
